id	fastbaps
21242_3#13	23
25825_2#133	23
25818_2#233	23
21485_4#21	23
25825_2#64	23
17966_3#40	23
21242_3#10	23
25818_3#354	23
25825_2#40	23
25825_2#61	23
25818_2#184	23
25825_2#132	23
25825_2#131	23
25818_3#278	9
17966_3#19	9
17966_3#36	9
17966_3#13	9
21242_4#40	9
21242_3#150	9
21242_3#78	9
17966_3#32	9
17966_3#20	9
25825_2#129	9
25825_2#188	9
21242_3#89	9
25818_2#222	9
25825_2#128	9
17966_3#14	9
25825_2#87	9
25818_2#223	9
25825_2#1	9
25818_3#361	9
21242_3#122	9
25818_3#318	9
25825_2#48	9
25818_2#31	9
21242_3#133	9
25818_2#17	9
21242_4#1	9
25825_2#179	9
21242_3#132	9
25818_2#3	20
25818_2#230	20
21242_3#11	20
25818_2#181	20
25825_2#12	20
21242_3#96	20
25825_2#186	20
25818_2#188	20
25818_2#210	20
25818_2#216	20
25818_2#262	20
21485_4#19	20
21242_3#125	20
25818_2#321	20
25818_2#208	20
21242_3#103	20
25825_2#135	20
21242_3#93	20
25818_3#238	20
25825_2#180	20
21242_3#98	20
17966_3#31	2
25818_2#178	2
25825_2#122	2
21242_3#23	2
21242_3#47	2
21242_3#19	2
21242_4#26	2
21242_4#95	2
25818_2#231	4
25825_2#163	4
25825_2#83	4
25818_2#228	4
21242_3#81	4
25825_2#126	4
21242_4#110	4
21242_3#128	4
21242_3#92	4
17966_3#35	4
25825_2#60	4
25825_2#147	4
25818_3#383	4
21242_4#115	4
25825_2#123	4
25818_2#196	4
21242_3#141	1
21242_4#129	1
25818_2#27	1
21485_4#33	1
21485_4#14	1
25818_3#231	1
25818_2#177	1
21242_4#64	8
25818_3#292	8
21485_4#23	8
25818_3#288	8
25818_3#222	8
25825_2#174	8
25825_2#94	8
25825_2#134	8
21242_3#138	8
25818_2#1	8
25825_2#181	8
21485_4#39	8
25818_2#204	8
25818_2#285	8
25825_2#184	8
21242_3#169	8
25818_3#379	8
25818_2#168	8
25818_2#29	8
25818_2#259	8
21485_4#11	8
21242_3#90	8
25818_2#283	8
25825_2#69	8
25818_2#33	8
21242_3#143	8
21242_3#3	8
25818_3#331	8
25818_3#342	8
25825_2#143	8
21485_4#40	8
25818_2#301	8
25818_2#174	8
21242_3#54	8
21242_3#101	8
25818_3#347	8
21485_4#41	8
17966_3#46	8
21485_4#32	8
21242_4#31	8
25818_2#194	8
25818_2#261	8
21242_3#171	8
25818_3#275	8
21242_4#122	8
25825_2#84	8
21242_4#123	8
25825_2#50	8
25825_2#17	8
21242_3#153	8
25818_2#209	8
21242_4#99	8
21242_4#124	8
25825_2#54	8
25825_2#14	8
25818_2#186	8
21242_3#127	8
25818_3#368	8
21242_3#164	8
21242_4#38	8
21242_4#57	8
21242_3#40	8
17966_3#24	8
25818_3#240	8
21242_3#126	8
25818_2#185	8
25818_3#305	8
21242_3#107	8
25818_2#265	8
25825_2#9	8
21242_3#174	8
21242_4#71	8
25825_2#115	8
25818_2#275	8
25818_2#250	8
21242_3#109	8
25825_2#55	8
21485_4#10	8
21485_4#26	8
25825_2#3	8
21242_4#18	8
25818_3#272	8
25818_2#169	8
25825_2#13	8
21242_3#180	8
25825_2#62	8
25825_2#159	8
25825_2#52	8
25825_2#108	8
25818_3#250	8
21242_3#52	8
21242_4#73	8
25818_2#214	8
25818_2#13	8
25825_2#36	8
25825_2#92	8
25818_2#189	8
25818_3#266	8
25818_3#224	8
21242_4#41	8
25818_2#215	8
25818_3#329	8
25825_2#112	8
17966_3#29	8
25818_2#219	8
25818_2#207	21
21242_3#110	21
25825_2#44	21
25825_2#139	21
25818_3#265	21
25825_2#105	21
25825_2#130	21
21485_4#13	21
25818_3#306	21
25818_3#362	21
25825_2#24	21
21485_4#34	21
25818_2#284	5
21242_4#111	5
25818_2#202	5
25825_2#86	5
25825_2#53	5
25818_3#321	5
21242_4#22	5
25818_3#314	5
25818_3#351	5
25825_2#41	5
25818_2#15	5
25818_2#18	5
25818_2#41	5
25818_2#226	5
25825_2#18	5
25818_2#5	5
21485_4#20	7
25818_3#226	7
25818_3#221	7
25825_2#74	7
25825_2#66	7
21242_3#154	7
21485_4#17	7
25818_2#4	26
21242_4#117	26
25825_2#120	26
21242_3#117	26
21242_3#155	26
21242_3#137	26
21242_3#181	26
25818_2#176	25
25818_2#35	25
25818_3#258	25
21242_4#68	25
25818_3#268	25
21242_4#2	25
25825_2#88	25
25818_3#355	25
21242_3#91	25
25825_2#156	25
25825_2#51	25
25818_2#239	13
25818_2#263	13
25818_2#267	13
25825_2#155	13
25818_2#311	13
25818_3#262	13
25818_3#372	13
25818_3#380	13
25818_2#19	13
25818_2#179	13
25818_3#338	13
25818_2#2	13
21242_3#64	13
25825_2#11	13
25818_3#264	13
25818_3#302	13
25825_2#146	13
25818_2#290	13
25825_2#31	13
25818_3#287	13
25818_3#243	13
21242_3#45	13
21242_4#83	13
25818_2#305	13
25818_2#304	13
25825_2#101	13
21242_4#53	13
21242_4#102	13
21242_4#23	13
21242_3#75	13
25818_3#298	13
25818_2#255	13
21242_3#41	13
21242_3#42	13
21242_4#88	22
25825_2#104	22
21242_3#27	22
25818_2#7	22
25818_3#294	22
21485_4#30	22
21242_3#158	22
17966_3#42	22
25825_2#57	22
25825_2#56	22
21242_3#175	22
21242_4#45	22
21242_4#11	22
21242_4#3	22
25818_2#39	22
25825_2#43	22
25818_2#229	22
21242_4#44	22
25818_2#238	22
25818_2#217	22
17966_3#16	22
25825_2#121	22
25818_3#381	22
25818_2#312	22
25825_2#177	22
25818_3#317	22
25825_2#6	22
25818_2#167	22
21242_4#42	22
25818_3#375	22
21485_4#18	22
21242_3#46	22
25818_3#234	22
21242_3#146	22
25818_2#192	22
25825_2#35	22
25818_2#48	22
25818_3#263	22
21485_4#24	22
25825_2#148	22
21242_3#179	22
25818_2#221	22
17966_3#12	22
25818_3#293	22
21242_3#73	22
25818_2#298	22
21242_3#48	22
25818_2#172	22
25818_3#334	22
25825_2#33	22
25825_2#99	22
21242_3#44	22
25818_2#243	6
21242_3#14	6
25818_2#241	6
21242_4#51	6
21242_3#49	6
21242_4#28	6
21242_4#27	6
25825_2#4	6
25818_2#294	6
25818_2#308	6
25818_2#245	6
25818_2#236	6
25818_2#302	6
21242_4#65	6
21242_4#13	6
21242_3#28	6
21242_3#32	6
25825_2#106	6
25818_2#45	6
25825_2#127	6
25818_2#170	6
25818_3#359	6
25818_3#247	6
21242_3#61	6
21242_4#5	6
17966_3#37	6
25818_3#291	6
25818_3#255	6
25818_3#324	6
25818_2#237	12
21242_4#43	12
25825_2#166	12
25818_3#350	12
25825_2#8	12
25818_3#230	12
21485_4#37	12
21485_4#16	12
25825_2#165	12
25818_3#274	12
25818_3#259	12
25818_2#309	12
21242_3#176	12
21242_3#6	12
17966_3#28	12
25818_2#38	12
25818_2#277	12
25818_3#369	12
25825_2#118	12
25825_2#125	12
25818_2#314	3
17966_3#51	3
25818_3#323	3
25825_2#23	3
25825_2#79	3
25825_2#5	3
21242_3#74	3
25818_2#25	3
25818_2#213	3
21242_3#29	3
21242_3#30	3
25818_3#378	3
17966_3#21	3
21242_4#12	3
25818_3#276	3
25818_2#163	3
25825_2#103	3
21242_4#9	3
21242_4#39	3
21242_3#152	3
21242_3#184	3
21242_3#149	3
25825_2#152	3
25818_2#273	3
25825_2#71	3
25825_2#10	3
25818_2#260	3
17966_3#43	3
21242_3#39	3
21242_4#101	3
25818_2#36	3
25818_3#346	3
21242_3#65	3
21242_4#75	3
21242_4#58	3
25825_2#58	3
17966_3#23	3
21242_3#31	3
21242_3#172	3
21242_3#22	3
21242_3#189	3
21242_3#185	3
21242_3#159	3
17966_3#45	3
25825_2#21	3
25825_2#114	3
21242_3#120	3
