Node	Total SNPs	Num of SNPs inside recombinations	Num of SNPs outside recombinations	Num of Recombination Blocks	Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
ERR1204772	0	0	0	0	544513	0.000000	0.000000	2112638	1588433
ERR1204773	164	116	48	8	439132	2.416667	0.166667	2095334	1676293
ERR1204774	13	0	13	0	495368	0.000000	0.000000	2138023	1669666
ERR1204775	61	43	18	2	492411	2.388889	0.111111	2140750	1672590
ERR1204776	13	7	6	1	446311	1.166667	0.166667	2122836	1685959
ERR1204777	541	476	65	19	461439	7.323077	0.292308	2091324	1665818
ERR1204778	31	27	4	2	498913	6.750000	0.500000	2114799	1628177
ERR1204779	0	0	0	0	527441	0.000000	0.000000	2114159	1601225
ERR1204780	7	5	2	1	495368	2.500000	0.500000	2133697	1666629
ERR1204781	38	27	11	2	505107	2.454545	0.181818	2138063	1668565
ERR1204782	0	0	0	0	481410	0.000000	0.000000	2150766	1677937
ERR1204783	0	0	0	0	533018	0.000000	0.000000	2112593	1598195
ERR1204784	10	6	4	1	453724	1.500000	0.250000	2151600	1706548
ERR1204785	8	5	3	1	619407	1.666667	0.333333	2135047	1544518
ERR1204786	10	5	5	1	551853	1.000000	0.200000	2108443	1578286
ERR1204787	0	0	0	0	527441	0.000000	0.000000	2109939	1597197
ERR1204788	1774	876	898	26	491535	0.975501	0.028953	2113130	1653966
ERR1204789	62	40	22	5	556920	1.818182	0.227273	2154161	1609695
ERR1204790	175	154	21	4	478089	7.333333	0.190476	2138424	1677141
ERR1204791	468	410	58	10	529071	7.068965	0.172414	2106737	1612002
ERR1204792	457	323	134	13	372222	2.410448	0.097015	2146914	1810521
ERR1204793	0	0	0	0	495466	0.000000	0.000000	2136825	1667061
ERR1204794	24	10	14	2	507610	0.714286	0.142857	2105318	1612239
ERR1204795	129	104	25	2	540056	4.160000	0.080000	2160146	1639782
ERR1204796	737	463	274	20	494056	1.689781	0.072993	2128491	1671168
ERR1204797	9	7	2	1	495368	3.500000	0.500000	2137622	1669079
ERR1204798	31	0	31	0	420594	0.000000	0.000000	2153568	1738666
ERR1204801	49	24	25	3	445851	0.960000	0.120000	2140807	1705083
ERR1204802	0	0	0	0	522377	0.000000	0.000000	2111743	1599522
ERR1204803	0	0	0	0	437859	0.000000	0.000000	2092005	1670728
