Accession	BAPS_Group
ERR449505	46
ERR449512	46
ERR349947	46
ERR349913	46
SRR3360647	46
ERR1837127	46
ERR3201207	46
ERR3201227	46
ERR3201322	46
ERR3201065	46
ERR3201288	46
ERR3201313	46
ERR3201162	46
ERR3201106	46
ERR1837106	46
ERR388446	46
ERR388438	46
GCGS0200	46
GCGS0304	46
ERR449492	46
ERR449524	46
ERR449486	46
SRR3361352	46
ERR349960	46
ERR449504	46
ERR449523	46
ERR449501	46
ERR449498	46
ERR449503	46
ERR449499	46
ERR449522	46
ERR449507	46
ERR1560807	46
ERR1560798	46
ERR1560838	46
ERR1560867	46
ERR363628	46
ERR1528311	46
ERR502238	46
ERR1514845	46
ERR502239	46
ERR1549768	46
ERR1602773	46
ERR1602753	46
ERR1602771	46
ERR1602758	46
ERR3201092	46
ERR1837116	46
ERR2631975	46
ERR1602783	46
ERR1602764	46
ERR1602780	46
ERR1528180	46
ERR388435	46
ERR349907	46
ERR2133925	46
ERR2133926	46
ERR2133924	46
ERR3201088	46
ERR3201357	46
ERR3201022	46
ERR3201277	46
ERR3200901	46
GCGS0395	46
ERR3201364	46
ERR1837132	46
SRR3360832	46
ERR3201291	46
ERR2631811	46
ERR3201179	46
ERR2631891	46
ERR3201367	46
GCGS0850	46
ERR3200956	46
ERR1837104	46
ERR3200840	46
ERR3200865	46
ERR3201252	46
ERR3200980	46
ERR3201233	46
ERR2631875	46
ERR3201200	46
ERR3200958	46
ERR2631893	46
ERR3201075	46
ERR2632033	46
ERR3201267	46
ERR2631942	46
ERR3200891	46
ERR2632034	46
ERR2631865	46
ERR2631724	46
ERR3201131	46
ERR3201142	46
ERR1555189	46
ERR1555220	46
ERR1555165	46
ERR1514793	46
ERR2632045	46
ERR1837125	46
ERR1204807	46
ERR3200998	46
ERR1837133	46
ERR3201326	46
ERR3200871	46
ERR2631822	46
ERR3201147	46
ERR2631775	46
ERR3200844	46
GCGS0312	46
ERR2631902	46
ERR3201072	46
ERR3200866	46
ERR3201196	46
ERR3201245	46
ERR3201342	46
ERR3201235	46
ERR3200906	46
GCGS0315	46
GCGS0543	46
ERR2632010	46
ERR2632035	46
ERR3200883	46
ERR3201197	46
ERR3201237	46
ERR2133958	46
ERR2133957	46
ERR2133959	46
ERR2133931	46
ERR2133932	46
GCGS0473	46
GCGS0456	46
GCGS0162	46
ERR388313	46
ERR3201238	46
ERR2631830	46
GCGS0460	46
ERR3200947	46
ERR3201192	46
ERR3200972	46
ERR2631896	46
ERR2631982	46
ERR3201298	46
ERR2631828	46
ERR3200962	46
ERR2631886	46
ERR3201168	46
ERR3201040	46
ERR2631949	46
ERR2631761	46
ERR2631968	46
ERR1204785	46
ERR2631848	46
ERR2631847	46
ERR3200882	46
ERR3201105	46
GCGS0461	46
ERR2631929	46
SRR5827277	46
ERR1837103	46
ERR1837119	46
ERR3201186	46
ERR3200982	46
ERR1471121	46
ERR1549765	46
ERR1528214	46
ERR1528323	46
ERR1528322	46
ERR1555186	46
ERR1555172	46
ERR3201050	46
ERR1549760	46
ERR2631773	46
ERR1528255	46
ERR1528296	46
ERR1528272	46
ERR388296	46
SRR3360692	46
ERR363600	46
ERR2631984	46
ERR3200824	46
ERR3200911	46
GCGS0500	46
GCGS0311	46
GCGS0284	46
GCGS1048	46
GCGS0280	46
GCGS0386	46
GCGS0283	46
GCGS0387	46
ERR2133904	46
ERR2133903	46
ERR349902	46
GCGS0290	46
GCGS0282	46
GCGS0443	46
GCGS0345	46
GCGS0268	46
GCGS0293	46
SRR969370	46
ERR349904	46
SRR969394	46
ERR349921	46
ERR349953	46
ERR349924	46
ERR349954	46
ERR349922	46
ERR388295	46
ERR349935	46
ERR349903	46
ERR349943	46
SRR5827282	46
ERR2133938	46
ERR2133937	46
ERR2133939	46
SRR5827228	46
SRR5827193	46
GCGS0310	46
GCGS1096	46
GCGS0703	46
ERR1549790	46
ERR1471137	46
ERR1469620	46
ERR1469724	46
ERR1469753	46
ERR1469600	46
SRR5827158	46
ERR1528290	46
ERR388353	46
GCGS0492	46
GCGS0685	46
GCGS0687	46
GCGS0427	46
GCGS0521	46
GCGS0302	46
GCGS0258	46
GCGS0259	46
GCGS0260	46
GCGS0390	46
ERR3201219	46
SRR2736301	46
ERR3201275	46
ERR3200886	46
ERR3201066	46
ERR1528285	46
ERR1469586	46
GCGS0529	46
GCGS0525	46
GCGS0273	46
GCGS0441	46
SRR969362	46
ERR3201317	46
ERR3200812	46
ERR2631860	46
ERR3201295	46
ERR3201129	46
ERR1204790	46
ERR3200916	46
ERR3201024	46
ERR2631952	46
ERR3200912	46
ERR1514771	46
ERR1514762	46
ERR1528259	46
SRR960561	46
ERR349892	46
GCGS0292	46
ERR449513	46
ERR449521	46
ERR1555231	46
ERR1555244	46
SRR5827246	46
SRR5827304	46
SRR5827097	46
SRR5827144	46
SRR5827163	46
ERR2632040	46
ERR2631863	46
ERR3200874	46
ERR3201031	46
ERR1837126	46
ERR1837107	46
SRR5827239	46
SRR5827241	46
ERR3200838	46
ERR349897	46
ERR1528254	46
ERR1514731	46
ERR1560803	46
GCGS1076	46
SRR969369	46
ERR449493	46
ERR349888	46
SRR5827182	46
SRR5827216	46
SRR5827101	46
SRR5827066	46
SRR5827167	46
SRR3360630	46
ERR388340	46
ERR388401	46
ERR349889	46
ERR349890	46
ERR1560859	46
ERR449509	46
ERR449506	46
ERR449508	46
ERR449502	46
28B	46
ERR388350	46
ERR388329	46
ERR349975	46
ERR349978	46
GCGS0471	46
ERR349908	46
SRR1661177	46
GCGS0488	46
SRR3360827	46
SRR3360663	46
SRR3361320	46
ERR388298	46
SRR3360811	46
GCGS0243	46
ERR349934	46
ERR388362	46
ERR388306	46
SRR3360943	46
SRR3360766	46
GCGS0250	46
GCGS0253	46
GCGS0252	46
SRR3360947	46
GCGS0432	46
GCGS0538	46
GCGS1019	46
ERR2631849	46
ERR1555195	46
ERR1555196	46
GCGS0050	46
ERR1204796	46
ERR2631813	46
SRR1661234	46
SRR1661235	46
SRR1661286	46
SRR1661240	46
SRR1661237	46
SRR1661288	46
SRR1661239	46
SRR1661238	46
SRR1661241	46
SRR1661287	46
GCGS0274	46
GCGS0291	46
GCGS0261	46
GCGS0262	46
GCGS0265	46
GCGS0662	46
GCGS0351	46
ERR2632026	46
ERR3201306	46
ERR3200893	46
ERR3201243	46
ERR3201330	46
ERR3201183	46
ERR1602766	46
ERR2632021	46
SRR969354	46
ERR449494	46
ERR449495	46
SRR969366	46
SRR969392	46
ERR349917	46
ERR1560842	46
ERR1560781	46
GCGS0375	46
SRR1661256	46
SRR1661285	46
SRR1661255	46
SRR969341	46
ERR3200928	46
GCGS0489	46
GCGS0438	46
ERR3201266	46
ERR3200925	46
ERR2631802	46
ERR3201309	46
ERR3201346	46
GCGS0450	46
GCGS0313	46
GCGS0303	46
SRR3360982	46
ERR3201242	46
SRR5827195	46
ERR1514772	46
ERR1514826	44
ERR363579	44
ERR349961	44
ERR363614	44
ERR3201068	44
ERR3201058	44
ERR2631979	44
ERR3200846	44
ERR2631913	44
ERR3201271	44
ERR2631812	44
ERR3201234	44
ERR3201155	44
ERR3201339	44
SRR3360727	44
SRR5827050	44
SRR5827149	44
SRR5827319	44
SRR5827382	44
SRR5827332	44
SRR5827292	44
SRR5827267	44
SRR5827272	44
SRR5827310	44
SRR5827058	44
SRR5827095	44
SRR5827309	44
SRR5827230	44
SRR5827078	44
SRR5827115	44
SRR5827358	44
SRR5827229	44
SRR5827307	44
SRR5827079	44
SRR5827102	44
SRR5827065	44
SRR5827409	44
SRR5827135	44
SRR5827107	44
ERR388290	44
ERR388294	44
ERR388434	44
ERR363633	44
ERR363635	44
ERR363636	44
ERR363650	44
SRR5827134	44
SRR5827279	44
SRR5827194	44
SRR5827344	44
SRR5827341	44
SRR5827184	44
SRR5827063	44
SRR5827271	44
SRR5827103	44
SRR5827331	44
SRR5827414	44
SRR5827311	44
SRR5827076	44
SRR5827251	44
SRR5827315	44
SRR5827098	44
SRR5827106	44
SRR5827190	44
SRR5827339	44
ERR349912	37
ERR2631833	37
SRR969353	37
SRR955973	37
ERR349970	37
ERR1560874	36
ERR3200873	36
ERR1469720	36
ERR449511	36
ERR449516	36
ERR449510	36
GCGS0295	36
GCGS0281	36
GCGS1046	36
GCGS0277	36
ERR388449	36
ERR363598	21
SRR5827030	21
ERR2133966	31
ERR2133968	31
ERR2133967	31
ERR1549767	31
ERR449469	31
SRR5827299	31
GCGS0586	31
SRR1661165	31
SRR3360883	31
SRR2736127	31
GCGS1097	31
GCGS0709	31
DRR124854	31
DRR124824	31
DRR124871	31
DRR124713	31
DRR124889	31
DRR124759	31
DRR124852	31
DRR124836	31
DRR124810	31
DRR124762	31
DRR124806	31
DRR124879	31
DRR124712	31
DRR124746	31
DRR124808	31
DRR124799	31
DRR124780	31
DRR124707	31
DRR124708	31
DRR124720	31
GCGS0509	23
SRR5827099	23
SRR959017	27
GCGS0336	27
GCGS0251	27
GCGS0407	27
GCGS0829	27
SRR969367	27
GCGS0365	27
ERR3200892	27
ERR2631758	27
ERR1204776	27
GCGS0324	27
GCGS1014	27
GCGS0335	27
GCGS1095	27
GCGS0457	27
GCGS0655	27
GCGS0742	27
GCGS0743	27
GCGS0744	27
GCGS0100	27
GCGS0016	27
GCGS0014	27
GCGS0832	27
GCGS0012	27
GCGS0546	27
GCGS0418	27
GCGS0472	27
GCGS0393	27
GCGS0347	27
GCGS0618	27
ERR2631746	27
ERR3200884	27
GCGS0349	27
GCGS0571	27
ERR3200971	27
ERR3200861	27
ERR3201274	27
ERR1602750	27
ERR3201272	27
ERR1204802	27
GCGS0572	27
ERR3200939	27
ERR2632004	27
ERR2631829	27
GCGS0325	27
GCGS0328	27
GCGS0729	27
GCGS1075	27
GCGS0064	27
GCGS0728	27
GCGS0318	27
GCGS0727	27
GCGS0680	27
ERR2631981	27
GCGS0768	27
ERR2631807	27
GCGS0459	27
ERR3201004	27
ERR2631729	27
ERR3201356	27
ERR3201347	27
ERR3200929	27
ERR2631967	27
ERR2631776	27
ERR1204787	27
ERR1204779	27
ERR2632015	27
ERR2631917	27
ERR3200819	27
ERR3200827	27
ERR3201217	27
ERR2631996	27
ERR3201041	27
ERR2631926	27
ERR2631919	27
ERR2631910	27
ERR3200908	27
ERR3200834	27
ERR3200943	27
ERR3200945	27
